initialorder	side	order	BigCriteria	criteria	choice	objecttype	weightwithincriteria	BigCriteria_en	criteria_en	choice_en	BigCriteria_nl	criteria_nl	choice_nl	BigCriteria_fr	criteria_fr	choice_fr	BigCriteria_de	criteria_de	choice_de	BigCriteria_cz	criteria_cz	choice_cz
	effecttrait		food	food	edible buds	checkboxGroupInput		Food use, etc.	Food use, etc.	edible buds	Voedselgebruik, enz.	Voedselgebruik, enz.	eetbare knoppen	Aliments	Utilisation alimentaire	bourgeons comestibles	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	essbare Knospen	Využití potravinové, a další	Využití potravinové, a další	jedlé pupeny
	effecttrait		food	food	Edible chestnuts	checkboxGroupInput		Food use, etc.	Food use, etc.	Edible chestnuts	Voedselgebruik, enz.	Voedselgebruik, enz.	Eetbare kastanjes	Aliments	Utilisation alimentaire	noix comestibles	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Essbare Kastanien	Využití potravinové, a další	Využití potravinové, a další	jedlé kaštany
	effecttrait		food	food	edible fruits	checkboxGroupInput		Food use, etc.	Food use, etc.	edible fruits	Voedselgebruik, enz.	Voedselgebruik, enz.	eetbare vruchten	Aliments	Utilisation alimentaire	fruits comestibles	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	essbare Früchte	Využití potravinové, a další	Využití potravinové, a další	jedlé plody
	effecttrait		food	food	edible young leaves	checkboxGroupInput		Food use, etc.	Food use, etc.	edible young leaves	Voedselgebruik, enz.	Voedselgebruik, enz.	eetbare jonge bladeren	Aliments	Utilisation alimentaire	jeunes feuilles comestibles	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	essbare junge Blätter	Využití potravinové, a další	Využití potravinové, a další	jedlé mladé listy
	effecttrait		food	food	feeding with chestnuts in fields	checkboxGroupInput		Food use, etc.	Food use, etc.	feeding with chestnuts in fields	Voedselgebruik, enz.	Voedselgebruik, enz.	voeding met kastanjes in velden	Aliments	Utilisation alimentaire	pâture les châtaignes dans les champs	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Fütterung mit Esskastanien auf dem Feld	Využití potravinové, a další	Využití potravinové, a další	p?ikrmování kaštany v oborách
	effecttrait		food	food	fruit - forage	checkboxGroupInput		Food use, etc.	Food use, etc.	fruit - forage	Voedselgebruik, enz.	Voedselgebruik, enz.	fruit - voeder	Aliments	Utilisation alimentaire	fruits - fourrage	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Früchte - Futtermittel	Využití potravinové, a další	Využití potravinové, a další	plody - krmivo
	effecttrait		food	food	fruits - feeding	checkboxGroupInput		Food use, etc.	Food use, etc.	fruits - feeding	Voedselgebruik, enz.	Voedselgebruik, enz.	vruchten - voeding	Aliments	Utilisation alimentaire	fruits - alimentation	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Früchte - Fütterung	Využití potravinové, a další	Využití potravinové, a další	plody - krmení
	effecttrait		food	food	fruits - fodder	checkboxGroupInput		Food use, etc.	Food use, etc.	fruits - fodder	Voedselgebruik, enz.	Voedselgebruik, enz.	vruchten - voeder	Aliments	Utilisation alimentaire	fruits - fourrage	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Früchte - Futtermittel	Využití potravinové, a další	Využití potravinové, a další	plody - krmivo
	effecttrait		food	food	fruits and leaves dye	checkboxGroupInput		Food use, etc.	Food use, etc.	fruits and leaves dye	Voedselgebruik, enz.	Voedselgebruik, enz.	vruchten en bladeren verven	Aliments	Utilisation alimentaire	fruits et feuilles pour faire de la teinture	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Früchte und Blätter färben	Využití potravinové, a další	Využití potravinové, a další	plody a listy barvivo
	effecttrait		food	food	fruits edible after freezing - marmalade	checkboxGroupInput		Food use, etc.	Food use, etc.	fruits edible after freezing - marmalade	Voedselgebruik, enz.	Voedselgebruik, enz.	vruchten eetbaar na invriezen - marmelade	Aliments	Utilisation alimentaire	fruits comestibles après décongélation-marmalade	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Früchte, die nach dem Einfrieren essbar sind - Marmelade	Využití potravinové, a další	Využití potravinové, a další	plody jedlé po p?emrznutí-marmeláda
	effecttrait		food	food	gemotherapy	checkboxGroupInput		Food use, etc.	Food use, etc.	gemotherapy	Voedselgebruik, enz.	Voedselgebruik, enz.	gemotherapie	Aliments	Utilisation alimentaire	gemmothérapie	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Gemotherapie	Využití potravinové, a další	Využití potravinové, a další	gemoterapie
	effecttrait		food	food	grain substitute for the future!	checkboxGroupInput		Food use, etc.	Food use, etc.	grain substitute for the future!	Voedselgebruik, enz.	Voedselgebruik, enz.	graanvervanger voor de toekomst!	Aliments	Utilisation alimentaire	le substitut de céréales de l'avenir !	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Getreideersatz für die Zukunft!	Využití potravinové, a další	Využití potravinové, a další	náhrada obilovin do budoucna!
	effecttrait		food	food	hedges	checkboxGroupInput		Food use, etc.	Food use, etc.	hedges	Voedselgebruik, enz.	Voedselgebruik, enz.	hagen	Aliments	Utilisation alimentaire	haies	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Hecken	Využití potravinové, a další	Využití potravinové, a další	živé ploty
	effecttrait		food	food	honey	checkboxGroupInput		Food use, etc.	Food use, etc.	honey	Voedselgebruik, enz.	Voedselgebruik, enz.	honing	Aliments	Utilisation alimentaire	miel	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Honig	Využití potravinové, a další	Využití potravinové, a další	medonosný
	effecttrait		food	food	honey bee	checkboxGroupInput		Food use, etc.	Food use, etc.	honey bee	Voedselgebruik, enz.	Voedselgebruik, enz.	honingbij	Aliments	Utilisation alimentaire	miel	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Bienenhonig	Využití potravinové, a další	Využití potravinové, a další	medonosná
	effecttrait		food	food	honey syrup	checkboxGroupInput		Food use, etc.	Food use, etc.	honey syrup	Voedselgebruik, enz.	Voedselgebruik, enz.	honingstroop	Aliments	Utilisation alimentaire	miel	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Honigsirup	Využití potravinové, a další	Využití potravinové, a další	medonosný
	effecttrait		food	food	honeyberry	checkboxGroupInput		Food use, etc.	Food use, etc.	honeyberry	Voedselgebruik, enz.	Voedselgebruik, enz.	honingbes	Aliments	Utilisation alimentaire	miel	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Honigbeere	Využití potravinové, a další	Využití potravinové, a další	medonosná
	effecttrait		food	food	jam	checkboxGroupInput		Food use, etc.	Food use, etc.	jam	Voedselgebruik, enz.	Voedselgebruik, enz.	jam	Aliments	Utilisation alimentaire	confiture	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Marmelade	Využití potravinové, a další	Využití potravinové, a další	jam
	effecttrait		food	food	marmelade	checkboxGroupInput		Food use, etc.	Food use, etc.	marmelade	Voedselgebruik, enz.	Voedselgebruik, enz.	jam	Aliments	Utilisation alimentaire	confiture	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	marmelade	Využití potravinové, a další	Využití potravinové, a další	marmeláda
	effecttrait		food	food	povidla	checkboxGroupInput		Food use, etc.	Food use, etc.	povidla	Voedselgebruik, enz.	Voedselgebruik, enz.	povidla	Aliments	Utilisation alimentaire	Confiture	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	povidla	Využití potravinové, a další	Využití potravinové, a další	povidla
	effecttrait		food	food	kernels similar quality to bush hazel	checkboxGroupInput		Food use, etc.	Food use, etc.	kernels similar quality to bush hazel	Voedselgebruik, enz.	Voedselgebruik, enz.	pitten van dezelfde kwaliteit als hazelnoten	Aliments	Utilisation alimentaire	amandes de qualité similaire à celles du noisetier	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Kerne von ähnlicher Qualität wie Buschhasel	Využití potravinové, a další	Využití potravinové, a další	jádra podobná kvalita jako ke?ových lísek
	effecttrait		food	food	leaves as vegetables Korea	checkboxGroupInput		Food use, etc.	Food use, etc.	leaves as vegetables Korea	Voedselgebruik, enz.	Voedselgebruik, enz.	bladeren als groenten Korea	Aliments	Utilisation alimentaire	feuilles comme les légumes Corée	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Blätter als Gemüse Korea	Využití potravinové, a další	Využití potravinové, a další	listy jako zelenina Korea
	effecttrait		food	food	maple syrup	checkboxGroupInput		Food use, etc.	Food use, etc.	maple syrup	Voedselgebruik, enz.	Voedselgebruik, enz.	esdoornsiroop	Aliments	Utilisation alimentaire	sirop d'érable	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Ahornsirup	Využití potravinové, a další	Využití potravinové, a další	javorový sirup
	effecttrait		food	food	maraska liquor	checkboxGroupInput		Food use, etc.	Food use, etc.	maraska liquor	Voedselgebruik, enz.	Voedselgebruik, enz.	maraska likeur	Aliments	Utilisation alimentaire	liqueur de marasquin	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Maraska-Likör	Využití potravinové, a další	Využití potravinové, a další	likér maraska
	effecttrait		food	food	marmalade	checkboxGroupInput		Food use, etc.	Food use, etc.	marmalade	Voedselgebruik, enz.	Voedselgebruik, enz.	marmelade	Aliments	Utilisation alimentaire	marmelade	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Marmelade	Využití potravinové, a další	Využití potravinové, a další	marmeláda
	effecttrait		food	food	medicinal bark	checkboxGroupInput		Food use, etc.	Food use, etc.	medicinal bark	Voedselgebruik, enz.	Voedselgebruik, enz.	medicinale schors	Aliments	Utilisation alimentaire	écorce médicinale	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Heilrinde	Využití potravinové, a další	Využití potravinové, a další	lé?ivá k?ra
	effecttrait		food	food	medicinal fruits	checkboxGroupInput		Food use, etc.	Food use, etc.	medicinal fruits	Voedselgebruik, enz.	Voedselgebruik, enz.	geneeskrachtige vruchten	Aliments	Utilisation alimentaire	fruits médicinaux	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Medizinische Früchte	Využití potravinové, a další	Využití potravinové, a další	lé?ivé plody
	effecttrait		food	food	Moravian sweet-fruit-marmalade	checkboxGroupInput		Food use, etc.	Food use, etc.	Moravian sweet-fruit-marmalade	Voedselgebruik, enz.	Voedselgebruik, enz.	Moravische zoete-vruchten-marmelade	Aliments	Utilisation alimentaire	marmelade de fruits doux de Moravie	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Mährische Süßfrucht-Marmelade	Využití potravinové, a další	Využití potravinové, a další	Moravský sladkoplodý-marmelády
	effecttrait		food	food	oil	checkboxGroupInput		Food use, etc.	Food use, etc.	oil	Voedselgebruik, enz.	Voedselgebruik, enz.	olie	Aliments	Utilisation alimentaire	huile	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Öl	Využití potravinové, a další	Využití potravinové, a další	olej
	effecttrait		food	food	ornamental 'Magnifica'	checkboxGroupInput		Food use, etc.	Food use, etc.	ornamental 'Magnifica'	Voedselgebruik, enz.	Voedselgebruik, enz.	siervrucht 'Magnifica	Aliments	Utilisation alimentaire	ornementale 'Magnifica	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Zierpflanze 'Magnifica'	Využití potravinové, a další	Využití potravinové, a další	okrasná ´Magnifica´
	effecttrait		food	food	Oscherusovice	checkboxGroupInput		Food use, etc.	Food use, etc.	Oscherusovice	Voedselgebruik, enz.	Voedselgebruik, enz.	Oscherusovice	Aliments	Utilisation alimentaire	Oscarberry	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Oscherusowitz	Využití potravinové, a další	Využití potravinové, a další	oskerušovice
	effecttrait		food	food	powdered sugar	checkboxGroupInput		Food use, etc.	Food use, etc.	powdered sugar	Voedselgebruik, enz.	Voedselgebruik, enz.	poedersuiker	Aliments	Utilisation alimentaire	poudre sucrée	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Puderzucker	Využití potravinové, a další	Využití potravinové, a další	pracharanda
	effecttrait		food	food	raisin substitute	checkboxGroupInput		Food use, etc.	Food use, etc.	raisin substitute	Voedselgebruik, enz.	Voedselgebruik, enz.	rozijnvervanger	Aliments	Utilisation alimentaire	substitut de raisin sec	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Rosinen-Ersatz	Využití potravinové, a další	Využití potravinové, a další	náhrada rozinek
	effecttrait		food	food	roasted aaj.	checkboxGroupInput		Food use, etc.	Food use, etc.	roasted aaj.	Voedselgebruik, enz.	Voedselgebruik, enz.	geroosterd aaj.	Aliments	Utilisation alimentaire	grillé aaj.	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	geröstet aaj.	Využití potravinové, a další	Využití potravinové, a další	pražená aaj.
	effecttrait		food	food	roasted as coffee substitute	checkboxGroupInput		Food use, etc.	Food use, etc.	roasted as coffee substitute	Voedselgebruik, enz.	Voedselgebruik, enz.	geroosterd als koffiesurrogaat	Aliments	Utilisation alimentaire	grillé en tant que substitut de café	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	geröstet als Kaffee-Ersatz	Využití potravinové, a další	Využití potravinové, a další	pražené jako náhrada kávy
	effecttrait		food	food	rods - basketry	checkboxGroupInput		Food use, etc.	Food use, etc.	rods - basketry	Voedselgebruik, enz.	Voedselgebruik, enz.	roedes - mandenmakerswerk	Aliments	Utilisation alimentaire	tiges - vannerie	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Ruten - Korbwaren	Využití potravinové, a další	Využití potravinové, a další	pruty - košíká?ství
	effecttrait		food	food	sap - syrup	checkboxGroupInput		Food use, etc.	Food use, etc.	sap - syrup	Voedselgebruik, enz.	Voedselgebruik, enz.	sap - siroop	Aliments	Utilisation alimentaire	sève - sirop	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Saft - Sirup	Využití potravinové, a další	Využití potravinové, a další	míza - syrup
	effecttrait		food	food	sap syrup	checkboxGroupInput		Food use, etc.	Food use, etc.	sap syrup	Voedselgebruik, enz.	Voedselgebruik, enz.	sapstroop	Aliments	Utilisation alimentaire	sirop de sève	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Saft-Sirup	Využití potravinové, a další	Využití potravinové, a další	míza syrup
	effecttrait		food	food	shell for ornaments and jewellery	checkboxGroupInput		Food use, etc.	Food use, etc.	shell for ornaments and jewellery	Voedselgebruik, enz.	Voedselgebruik, enz.	schelp voor ornamenten en sieraden	Aliments	Utilisation alimentaire	coques pour la fabrication d'ornements et de bijoux	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Muscheln für Ornamente und Schmuck	Využití potravinové, a další	Využití potravinové, a další	sko?ápka k výrob? ozdob a šperk?
	effecttrait		food	food	silvopasture systems	checkboxGroupInput		Food use, etc.	Food use, etc.	silvopasture systems	Voedselgebruik, enz.	Voedselgebruik, enz.	silvopasture systemen	Aliments	Utilisation alimentaire	systèmes silvopastoraux	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Silvoweide-Systeme	Využití potravinové, a další	Využití potravinové, a další	silvopastevních systémech
	effecttrait		food	food	stone age	checkboxGroupInput		Food use, etc.	Food use, etc.	stone age	Voedselgebruik, enz.	Voedselgebruik, enz.	stenen tijdperk	Aliments	Utilisation alimentaire	âge de pierre	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Steinzeit	Využití potravinové, a další	Využití potravinové, a další	doba kamenná
	effecttrait		food	food	sweet and sour fruits - mulberry wine	checkboxGroupInput		Food use, etc.	Food use, etc.	sweet and sour fruits - mulberry wine	Voedselgebruik, enz.	Voedselgebruik, enz.	zoete en zure vruchten - moerbeiwijn	Aliments	Utilisation alimentaire	fruits aigres-doux - vin de mûre	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	süße und saure Früchte - Maulbeerwein	Využití potravinové, a další	Využití potravinové, a další	sladkokyselé plody - morušové víno
	effecttrait		food	food	sweet fruits - drying	checkboxGroupInput		Food use, etc.	Food use, etc.	sweet fruits - drying	Voedselgebruik, enz.	Voedselgebruik, enz.	zoete vruchten - drogen	Aliments	Utilisation alimentaire	fruits sucrés - séchage	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Süße Früchte - Trocknung	Využití potravinové, a další	Využití potravinové, a další	sladké plody - sušení
	effecttrait		food	food	syrup	checkboxGroupInput		Food use, etc.	Food use, etc.	syrup	Voedselgebruik, enz.	Voedselgebruik, enz.	siroop	Aliments	Utilisation alimentaire	sirop	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Sirup	Využití potravinové, a další	Využití potravinové, a další	sirup
	effecttrait		food	food	tasty	checkboxGroupInput		Food use, etc.	Food use, etc.	tasty	Voedselgebruik, enz.	Voedselgebruik, enz.	smakelijk	Aliments	Utilisation alimentaire	savoureux	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	schmackhaft	Využití potravinové, a další	Využití potravinové, a další	chutné
	effecttrait		food	food	tasty berries	checkboxGroupInput		Food use, etc.	Food use, etc.	tasty berries	Voedselgebruik, enz.	Voedselgebruik, enz.	smakelijke bessen	Aliments	Utilisation alimentaire	fruits savoureux	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	schmackhafte Beeren	Využití potravinové, a další	Využití potravinové, a další	chutné plody
	effecttrait		food	food	tasty edible fruits	checkboxGroupInput		Food use, etc.	Food use, etc.	tasty edible fruits	Voedselgebruik, enz.	Voedselgebruik, enz.	smakelijke eetbare vruchten	Aliments	Utilisation alimentaire	fruits comestibles savoureux	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	schmackhafte essbare Früchte	Využití potravinové, a další	Využití potravinové, a další	chutné jedlé plody
	effecttrait		food	food	tasty fruits	checkboxGroupInput		Food use, etc.	Food use, etc.	tasty fruits	Voedselgebruik, enz.	Voedselgebruik, enz.	smakelijke vruchten	Aliments	Utilisation alimentaire	fruits savoureux	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	leckere Früchte	Využití potravinové, a další	Využití potravinové, a další	chutné plody
	effecttrait		food	food	tasty seeds	checkboxGroupInput		Food use, etc.	Food use, etc.	tasty seeds	Voedselgebruik, enz.	Voedselgebruik, enz.	smakelijke zaden	Aliments	Utilisation alimentaire	graines savoureuses	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	leckere Samen	Využití potravinové, a další	Využití potravinové, a další	chutná semena
	effecttrait		food	food	thin maple syrup	checkboxGroupInput		Food use, etc.	Food use, etc.	thin maple syrup	Voedselgebruik, enz.	Voedselgebruik, enz.	dunne ahornsiroop	Aliments	Utilisation alimentaire	sirop d'érable fin	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	dünner Ahornsirup	Využití potravinové, a další	Využití potravinové, a další	?ídký javorový sirup
	effecttrait		food	food	unripe fruit is pickled	checkboxGroupInput		Food use, etc.	Food use, etc.	unripe fruit is pickled	Voedselgebruik, enz.	Voedselgebruik, enz.	onrijp fruit wordt ingemaakt	Aliments	Utilisation alimentaire	les fruits non mûrs sont marinés	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	unreife Früchte werden eingelegt	Využití potravinové, a další	Využití potravinové, a další	nezralé plody se nakládají
	effecttrait		food	food	Medicinal fruits and leaves	checkboxGroupInput		Food use, etc.	Food use, etc.	Medicinal fruits and leaves	Voedselgebruik, enz.	Voedselgebruik, enz.	Geneeskrachtige vruchten en bladeren	Aliments	Utilisation alimentaire	Fruits et feuilles médicinaux	Verwendung von Nahrungsmitteln, etc.	Verwendung von Nahrungsmitteln, etc.	Medizinische Früchte und Blätter	Využití potravinové, a další	Využití potravinové, a další	Lé?ivé plody a listy
